ForceThermoValues4202227179
Unix Time,Arduino Force Value,Actual Force,Thermocouple Value One,Thermocouple Value Two
1651093777.899030,644,0.3989541948546800,71.75,62.50
1651093777.9117600,644,0.3989541948546800,71.75,62.50
1651093777.9223400,645,0.3995736889460700,71.75,62.50
1651093777.9343200,647,0.4008126771288480,71.75,62.50
1651093777.946250,647,0.4008126771288480,71.75,62.50
1651093777.958450,647,0.4008126771288480,71.50,62.50
1651093777.9681900,647,0.4008126771288480,71.50,62.50
1651093777.979180,643,0.3983347007632910,71.75,62.50
1651093777.990570,641,0.39709571258051300,71.50,62.50
1651093778.002250,642,0.3977152066719020,71.50,62.50
1651093778.021490,642,0.3977152066719020,71.50,62.50
1651093778.035550,641,0.39709571258051300,71.50,62.50
1651093778.053340,642,0.3977152066719020,71.50,62.50
1651093778.069500,641,0.39709571258051300,71.50,62.50
1651093778.092380,641,0.39709571258051300,71.25,62.50
1651093778.105450,642,0.3977152066719020,71.25,62.50
1651093778.1165000,647,0.4008126771288480,71.25,62.50
1651093778.129370,646,0.4001931830374590,71.25,62.50
1651093778.1416000,648,0.40143217122023700,71.25,62.50
1651093778.152210,649,0.4020516653116270,71.25,62.50
1651093778.163520,652,0.40391014758579400,71.25,62.50
1651093778.174730,651,0.4032906534944050,71.25,62.50
1651093778.1852400,646,0.4001931830374590,71.25,62.50
1651093778.1967300,646,0.4001931830374590,71.25,62.50
1651093778.208540,646,0.4001931830374590,71.25,62.50
1651093778.219270,648,0.40143217122023700,71.00,62.50
1651093778.231540,647,0.4008126771288480,71.00,62.50
1651093778.243350,648,0.40143217122023700,71.00,62.50
1651093778.255460,646,0.4001931830374590,71.00,62.50
1651093778.266220,648,0.40143217122023700,71.00,62.50
1651093778.278230,647,0.4008126771288480,71.00,62.50
1651093778.2905800,649,0.4020516653116270,71.00,62.50
1651093778.3027500,650,0.40267115940301600,71.00,62.50
1651093778.313750,650,0.40267115940301600,71.00,62.50
1651093778.325310,653,0.40452964167718400,70.75,62.50
1651093778.337220,651,0.4032906534944050,70.75,62.50
1651093778.349280,652,0.40391014758579400,70.75,62.25
1651093778.361360,651,0.4032906534944050,70.75,62.25
1651093778.372310,647,0.4008126771288480,70.75,62.25
1651093778.38324,648,0.40143217122023700,70.50,62.50
1651093778.3954900,648,0.40143217122023700,70.50,62.50
1651093778.407300,646,0.4001931830374590,70.50,62.50
1651093778.4194800,647,0.4008126771288480,70.50,62.50
1651093778.431350,647,0.4008126771288480,70.50,62.25
1651093778.443260,647,0.4008126771288480,70.50,62.50
1651093778.455450,647,0.4008126771288480,70.50,62.25
1651093778.465150,644,0.3989541948546800,70.25,62.50
1651093778.478290,646,0.4001931830374590,70.25,62.50
1651093778.490420,647,0.4008126771288480,70.25,62.25
1651093778.50235,649,0.4020516653116270,70.25,62.50
1651093778.514910,644,0.3989541948546800,70.00,62.25
1651093778.525300,645,0.3995736889460700,70.00,62.50
1651093778.537270,646,0.4001931830374590,70.00,62.25
1651093778.5483900,644,0.3989541948546800,70.00,62.25
1651093778.559270,641,0.39709571258051300,70.00,62.50
1651093778.572310,640,0.3964762184891230,70.00,62.25
1651093778.583890,639,0.39585672439773400,70.00,62.25
1651093778.598070,640,0.3964762184891230,69.75,62.25
1651093778.608240,640,0.3964762184891230,69.75,62.25
1651093778.620250,638,0.3952372303063450,69.75,62.25
1651093778.631340,637,0.39461773621495600,69.75,62.25
1651093778.6442900,639,0.39585672439773400,69.75,62.25
1651093778.6569100,641,0.39709571258051300,69.75,62.25
1651093778.671370,642,0.3977152066719020,69.75,62.25
1651093778.685570,645,0.3995736889460700,69.50,62.25
1651093778.700840,635,0.39337874803217700,69.50,62.25
1651093778.716650,630,0.39028127757523100,69.50,62.25
1651093778.736470,634,0.39275925394078800,69.50,62.25
1651093778.75213,634,0.39275925394078800,69.50,62.25
1651093778.768680,636,0.39399824212356600,69.25,62.25
1651093778.7848100,636,0.39399824212356600,69.25,62.25
1651093778.798570,635,0.39337874803217700,69.25,62.25
1651093778.8107600,635,0.39337874803217700,69.25,62.25
1651093778.822550,631,0.39090077166662,69.00,62.25
1651093778.832320,632,0.39152026575800900,69.00,62.25
1651093778.8444100,637,0.39461773621495600,69.00,62.25
1651093778.854150,631,0.39090077166662,69.00,62.25
1651093778.865680,630,0.39028127757523100,68.75,62.25
1651093778.91341,629,0.3896617834838420,68.75,62.25
1651093778.950110,630,0.39028127757523100,68.75,62.25
1651093778.991140,630,0.39028127757523100,68.75,62.25
1651093779.028140,629,0.3896617834838420,68.75,62.25
1651093779.0688900,628,0.3890422893924520,68.75,62.25
1651093779.109760,629,0.3896617834838420,68.75,62.25
1651093779.146490,629,0.3896617834838420,68.75,62.25
1651093779.1930300,628,0.3890422893924520,68.75,62.25
1651093779.228570,627,0.388422795301063,68.75,62.25
1651093779.2653500,627,0.388422795301063,68.75,62.25
1651093779.30641,627,0.388422795301063,68.75,62.25
1651093779.350940,628,0.3890422893924520,68.75,62.25
1651093779.404920,627,0.388422795301063,68.75,62.25
1651093779.445900,627,0.388422795301063,68.75,62.25
1651093779.482370,626,0.38780330120967400,68.75,62.25
1651093779.523420,626,0.38780330120967400,68.75,62.25
1651093779.564350,626,0.38780330120967400,68.75,62.25
1651093779.601230,626,0.38780330120967400,68.75,62.25
1651093779.642170,625,0.3871838071182850,68.75,62.25
1651093779.687310,626,0.38780330120967400,68.75,62.25
1651093779.740600,625,0.3871838071182850,68.75,62.25
1651093779.782090,626,0.38780330120967400,68.75,62.25
1651093779.8223400,624,0.38656431302689500,68.75,62.25
1651093779.859600,624,0.38656431302689500,68.75,62.25
1651093779.900590,625,0.3871838071182850,68.75,62.25
